TF_sym	Gene_sym
AFF4	CDKN2A
AHR	ABCB6
AHR	ABI2
AHR	ACADSB
AHR	ACCN1
AHR	ACCN2
AHR	ADO
AHR	AGFG2
AHR	AMPD2
AHR	ANP32A
AHR	AP3S1
AHR	ARL3
AHR	ARRB2
AHR	ASCL1
AHR	ASPH
AHR	ATG12
AHR	ATL1
AHR	ATOH1
AHR	ATXN2L
AHR	AXIN2
AHR	B3GALNT1
AHR	BCL11A
AHR	BCL11B
AHR	BCL9L
AHR	BDNF
AHR	BHLHE41
AHR	BIN1
AHR	BRSK2
AHR	BTBD3
AHR	BZW2
AHR	C10orf46
AHR	C12orf11
AHR	C12orf66
AHR	C14orf43
AHR	C16orf53
AHR	C16orf87
AHR	C21orf119
AHR	C2orf67
AHR	C5orf44
AHR	CACNA1B
AHR	CACNG3
AHR	CAMK2D
AHR	CAMK2N2
AHR	CBX6
AHR	CD320
AHR	CDK16
AHR	CDKN1B
AHR	CFL1
AHR	CHCHD1
AHR	CHRM1
AHR	CIRBP
AHR	CMIP
AHR	CNPY2
AHR	CREBZF
AHR	CYP1A1
AHR	CYP1A2
AHR	CYP1B1
AHR	DAZAP1
AHR	DCTN5
AHR	DDIT3
AHR	DHX40
AHR	LRRC50
AHR	DOC2A
AHR	DOT1L
AHR	DSTN
AHR	DTX1
AHR	EDEM3
AHR	EED
AHR	EID1
AHR	EIF3A
AHR	EIF4A2
AHR	ELAVL4
AHR	ENOPH1
AHR	EPHB1
AHR	EPO
AHR	EYA3
AHR	FAM134C
AHR	FBXO36
AHR	FGD1
AHR	FGF9
AHR	FGFR1OP2
AHR	FHOD1
AHR	FOS
AHR	FOSB
AHR	FOXO3
AHR	FUT8
AHR	GAD2
AHR	GADD45G
AHR	GIT2
AHR	GJD2
AHR	GRIN2B
AHR	H2AFZ
AHR	HNRNPL
AHR	HNRPDL
AHR	HOXC4
AHR	HOXC6
AHR	HSDL1
AHR	IKZF5
AHR	IMMT
AHR	ING3
AHR	INSIG1
AHR	C14orf4
AHR	JUB
AHR	KDM2A
AHR	LCOR
AHR	LENG8
AHR	LHFPL4
AHR	LMO3
AHR	LPHN1
AHR	LUM
AHR	MAF
AHR	MAX
AHR	MAZ
AHR	MBD3
AHR	MECP2
AHR	MEIS1
AHR	MEIS2
AHR	MEX3B
AHR	MINK1
