"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"STARD3"	1.49434441922737	5.70556281823953	18.4496420289269	8.12257533322547e-66	1.66520916906455e-61	138.929700733472
"ERBB2"	1.9421357014945	8.61765643538703	16.3000013169123	2.89339228455918e-53	2.96587176128739e-49	110.289593606172
"FGFR4"	2.39125649509455	2.53112428333396	16.2636311818219	4.63790201148221e-53	3.16938763791323e-49	109.626377519101
"PGAP3"	1.4961711203058	5.74520608087438	16.1560222669846	1.86656527288063e-52	9.56661366483144e-49	108.431555099241
"C17orf37"	1.47646348752118	5.69953364948891	15.4497314089256	1.51584934588418e-48	6.21528548799431e-45	99.5105781310243
"TMEM86A"	1.21439708605734	4.17397532177204	15.1679083058792	5.13908318897263e-47	1.75593907428546e-43	95.9860973559011
"PNMT"	3.08198463038568	-0.672895767125684	14.9811426657109	5.19147450534306e-46	1.52043455477197e-42	92.9225185218222
"PSMD3"	1.16396243943253	7.38469340749177	14.8100333446045	4.25201624353314e-45	1.04885889896384e-41	91.647039826562
"C2orf54"	3.01303599917264	1.15133423817441	14.8035282576623	4.60452177487663e-45	1.04885889896384e-41	91.2855777953232
"GRB7"	1.83709133139809	4.87993468677336	14.4748310187265	2.50174772710169e-43	5.12883301533118e-40	87.6074519838169
"ORMDL3"	1.24274930440122	7.03292714493807	14.2602548968849	3.29025439764887e-42	6.13213685510905e-39	85.0573786578913
"C2CD4A"	2.85708364698914	-0.523002069494776	13.9856029889509	8.5780049811516e-41	1.46548066765491e-37	81.1883946427136
"CLCA2"	3.24998792268966	0.802611521805428	13.8569906166228	3.89234503336821e-40	6.13822811762166e-37	80.1052101805065
"MUCL1"	3.67414424700056	2.90588616863004	13.2655743700769	3.60812631398743e-37	5.28358554021831e-34	73.5668801965997
"GSDMB"	1.40854101618877	2.23756806448555	12.9349670121341	1.50214102595066e-35	2.0530262115343e-32	69.766434102558
"ABCA12"	2.58918199955	2.1492049671347	12.8550078162775	3.66480714885001e-35	4.69576320991088e-32	68.962198958483
"TCAP"	2.01199645090063	-1.82096379130086	12.8399999937903	4.33074465307336e-35	5.22262330192099e-32	68.1076360725491
"G6PD"	0.828815842464181	6.01913265170286	12.7027127805042	1.98187305604257e-34	2.15223517660593e-31	67.3273048423103
"TMEM45B"	2.06803410951951	2.25600503691705	12.7021301276785	1.99465725357361e-34	2.15223517660593e-31	67.2764155622704
"ETFA"	0.729468932408391	5.90412021605603	12.3704336015753	7.49182184766817e-33	7.67949198495226e-30	63.73619386737
"MPHOSPH6"	0.857761186390728	4.17258214273516	12.1530358519668	7.76670147889906e-32	7.58214985804332e-29	61.4446430079206
