"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"XBP1"	2.27876626357213	9.43412749885449	19.3997175938867	1.13428379005986e-60	2.32539519800173e-56	127.381146297468
"TBC1D9"	2.74409371794301	6.86248491521551	18.8855895535381	2.33182079816865e-58	2.39023290916278e-54	122.089046943293
"FOXA1"	4.4977236680131	5.23471935414022	18.4584528669814	1.92842904325049e-56	1.31782412718927e-52	117.713516132161
"ZNF552"	2.12648681731419	4.64625118151332	18.335833887365	6.83622089068497e-56	3.50373411199832e-52	116.457669423505
"CA12"	3.64176228194119	6.3197704212416	18.1982524075146	2.82478292525952e-55	1.15821749501491e-51	115.033869588824
"ESR1"	4.53698481489833	5.27280622846166	17.9769921671535	2.75862800732813e-54	8.543246558991e-51	112.782005961647
"DEGS2"	3.65500185817357	3.38734554298721	17.9715657049661	2.91706384629711e-54	8.543246558991e-51	112.673716439338
"LOC145837"	3.66709925972744	-0.749043090614143	17.8761697512896	7.78287451117424e-54	1.99445887941979e-50	111.445575793025
"SLC7A8"	2.24120225757922	5.71994600668557	17.5864307236856	1.52605178125745e-52	3.47617639639545e-49	108.774642655542
"C1orf64"	5.54239461705009	0.0544063880287642	17.2393044846407	5.34028576496604e-51	1.09481198467569e-47	105.161314384408
"AGR2"	5.40372615812096	4.89198282700733	17.1557629869532	1.25419040142335e-50	2.14267978496501e-47	104.410093768154
"FSIP1"	3.79415518166138	0.684030151624615	17.1596735463968	1.20507377901525e-50	2.14267978496501e-47	104.216409297528
"PRR15"	3.46747598420618	2.34857551476452	16.9496036467864	1.02799067961892e-49	1.62114130175904e-46	102.237131625679
"MLPH"	3.58157336485157	5.729088656393	16.8166132660514	3.9832318284138e-49	5.83287397959367e-46	100.960363234592
"CT62"	3.60809892221381	-1.34302307149099	16.7863596262107	5.41909058286047e-49	7.40645173594816e-46	100.451123616675
"SLC44A4"	4.62070887154585	3.60443822594732	16.7267979203516	9.93087875153793e-49	1.27245590803299e-45	100.048777030064
