"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FOXC1"	-3.43292861793798	3.34944305468913	-38.0999854608859	2.71872142091007e-198	5.57365078500774e-194	443.06424167632
"BCL11A"	-4.0965156069319	1.12716012361253	-35.3274535831594	3.12399164686404e-179	3.20224763761799e-175	399.06398317935
"MLPH"	4.17326531806331	7.33013535800127	33.0742221318911	1.26166137710291e-163	8.62177329732893e-160	363.4633821928
"SFRS13B"	-3.01386807007841	-0.784909832437958	-31.1337848557627	3.74551074422921e-150	1.91966789418608e-146	331.9437898881
"CT62"	3.94338299076355	0.0802119359805434	30.9385371451412	8.48922435606548e-149	3.48075177047397e-145	329.052529694046
"XBP1"	2.57120103247355	10.3877598436549	30.8707059571273	2.51001614733296e-148	8.57630683941217e-145	328.325842312117
"B3GNT5"	-2.4132367376786	3.10508286538227	-30.6989315609746	3.90650621170872e-147	1.14410405494629e-143	325.573076335816
"TBC1D9"	3.10060971513474	8.0129878061397	30.0524513323123	1.19061744024024e-142	3.05110601779565e-139	315.291835806348
"LOC145837"	4.16760735594321	0.818819602520688	30.0442513521109	1.35711084227866e-142	3.09134770861721e-139	314.780608387304
"PSAT1"	-3.51800775926238	2.25072753079084	-29.7675280639221	1.12285060741256e-140	2.30195603025648e-137	310.718015032268
"FAM171A1"	-2.27100940873528	4.09434181672974	-29.4438622022438	1.95787328402244e-138	3.64894183597673e-135	305.612188563134
"ROPN1"	-5.2378712867508	-1.46153648161788	-29.1632395129629	1.71235904919511e-136	2.92542273896242e-133	300.947341581054
"HAPLN3"	-2.41233616445143	3.89228107124952	-28.699117847115	2.76329439524548e-133	4.35771526130213e-130	293.782596735868
"PPP1R14C"	-4.06328454216119	0.702940812940837	-28.6859662743334	3.40605119111411e-133	4.98767539064503e-130	293.454242661746
"KCNK5"	-2.86020677297692	2.69061581176173	-28.5021793983894	6.32421466433977e-132	8.64351498890864e-129	290.643733593742
"VGLL1"	-5.37214250687656	-0.792908441456398	-28.1160626349313	2.90734192884404e-129	3.72521355520198e-126	284.44162347672
"RGMA"	-2.62126164454302	3.28873485200949	-28.106901171651	3.36214433192719e-129	4.0545482911082e-126	284.397972322633
"ART3"	-4.81635106691128	-2.36724054815161	-28.0586586765706	7.22691229300984e-129	8.23105160661082e-126	283.335751760159
"FOXA1"	5.06099320761315	7.0979571101318	27.9174372731581	6.78249455823454e-128	7.31831162833507e-125	281.378710304561
"TTC36"	4.11079133509611	0.130263808464059	27.8776385750871	1.27445272692398e-127	1.30637776773343e-124	280.570934789127
"MICALL1"	-1.27503053050257	5.10915469574347	-27.7801924485815	5.96793895087869e-127	5.561305292362e-124	279.215842937653
"A2ML1"	-5.22180611655307	-1.06393534953757	-27.7815513541532	5.84085318935894e-127	5.561305292362e-124	279.131319766539
"GATA3"	3.43874401840571	8.21519404087941	27.432385230858	1.46661183315606e-124	1.30726126919706e-121	273.71811574012
"CMBL"	2.46561106737455	5.84400613068465	27.4062938705502	2.21546947183943e-124	1.89247248509084e-121	273.331969643892
"KRT16"	-4.94861473172398	1.77076518550032	-27.1883475859544	6.93318408592971e-123	5.6854882778258e-120	269.883833787225
"CDCA7"	-2.85206934092176	2.17229583742885	-27.1032730394867	2.6556901948755e-122	2.09401171865933e-119	268.536167112407
"FZD9"	-3.42526197770379	-1.36172641056701	-27.0579071109201	5.43341146649458e-122	4.12556920276316e-119	267.530069927588
"MTHFD1L"	-1.64770726812322	3.84256351214891	-26.7930505164757	3.53535917970973e-120	2.58851423368676e-117	263.678426315445
"GABRP"	-5.34927555804785	3.71782090992456	-26.7886348699446	3.79000799653134e-120	2.67927427368583e-117	263.608739542266
"CHODL"	-3.53651229054976	-0.981921413273127	-26.7350945789081	8.80705376969761e-120	6.01844697775236e-117	262.518704993003
"YBX1"	-1.14869797887755	8.17427715298323	-26.6772682054892	2.18873415337324e-119	1.44745931865499e-116	261.802157055055
"SLC7A13"	2.48387546426787	-2.74063351563958	26.6688901341347	2.49724963941774e-119	1.59987858930322e-116	261.712097960229
"MIA"	-4.45106588294489	0.572660880530396	-26.4623669943142	6.42910473692849e-118	3.99403261247791e-115	258.437339261611
"ABCC8"	4.96313576943359	1.16870090538937	26.4551285416693	7.20373689453569e-118	4.34364147279048e-115	258.231297136435
"PRKX"	-1.7612633229047	4.70631535270872	-26.30590539698	7.50840690770937e-117	4.39799571471285e-114	256.015728500474
"DYNLRB2"	2.76055002640733	-0.29372222455614	26.2564735364427	1.63128453846076e-116	9.28971231194001e-114	255.035514572746
"TMBIM6"	0.87944619642729	10.1468895347824	26.1635560558242	7.00855915563431e-116	3.88331003377456e-113	253.742806349276
"C20orf26"	2.6477471614869	-0.755666703115295	26.0063840473471	8.23249496502598e-115	4.44143103363152e-112	251.17519992379
"CA12"	3.82476920618349	7.62783481084487	25.9225695790518	3.05878175027224e-114	1.60789960672644e-111	250.030169977034
"HORMAD1"	-4.8574410530813	-2.99156560334383	-25.7098816383603	8.51787775382642e-113	4.36562529577989e-110	246.507853981582
"TMCC2"	-2.15045074004273	1.23048258451278	-25.6016847296933	4.61689761474885e-112	2.30856141463332e-109	244.953511250157
"FSCN1"	-1.68730838320485	5.92971521404975	-25.457675409407	4.36805403846916e-111	2.1321303772061e-108	242.742956138531
"EN1"	-3.47382020597198	1.35690251409865	-25.3840368028024	1.37677405712354e-110	6.56401045234645e-108	241.638080263261
"TTLL4"	-1.39117994309175	4.73751422383035	-25.2497045953294	1.11566379095705e-109	5.1982325860024e-107	239.539868337599
"ERGIC1"	1.17163077854251	8.31747224679892	25.2075617849331	2.14969401791177e-109	9.79352823582427e-107	238.842746649225
"SLC7A8"	2.43828676220941	6.58947589809566	25.084711970189	1.45241883593935e-108	6.47305185991144e-106	236.990408564518
"CLCN4"	-2.18229165320092	1.92862022889228	-25.0315656905152	3.31698230213205e-108	1.44683945055339e-105	236.171639208584
"FERMT1"	-3.41612245414379	0.560623298385099	-24.9465359124251	1.24217225674772e-107	5.30536946574688e-105	234.812075132107
"UGT8"	-3.76914164431549	-0.266712987509289	-24.786955884189	1.47610628212663e-106	6.17584793670979e-104	232.309570716884
