"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"STARD3"	-1.49434441922737	5.70556281823953	-18.4496420289269	8.12257533322407e-66	1.66520916906427e-61	138.929700733472
"ERBB2"	-1.94213570149451	8.61765643538703	-16.3000013169123	2.89339228456142e-53	2.96587176128968e-49	110.289593606172
"FGFR4"	-2.39125649509455	2.53112428333396	-16.2636311818219	4.63790201148148e-53	3.16938763791273e-49	109.626377519101
"PGAP3"	-1.4961711203058	5.74520608087438	-16.1560222669846	1.86656527288028e-52	9.56661366482966e-49	108.431555099241
"C17orf37"	-1.47646348752118	5.69953364948891	-15.4497314089257	1.51584934588388e-48	6.21528548799306e-45	99.5105781310245
"TMEM86A"	-1.21439708605734	4.17397532177204	-15.1679083058792	5.13908318897241e-47	1.75593907428539e-43	95.9860973559012
"PNMT"	-3.08198463038568	-0.672895767125684	-14.9811426657109	5.19147450534231e-46	1.52043455477175e-42	92.9225185218223
"PSMD3"	-1.16396243943253	7.38469340749177	-14.8100333446045	4.25201624353515e-45	1.04885889896371e-41	91.6470398265614
"C2orf54"	-3.01303599917265	1.15133423817441	-14.8035282576623	4.60452177487603e-45	1.04885889896371e-41	91.2855777953234
"GRB7"	-1.83709133139809	4.87993468677336	-14.4748310187265	2.50174772710177e-43	5.12883301533133e-40	87.6074519838169
"ORMDL3"	-1.24274930440122	7.03292714493807	-14.2602548968849	3.29025439764911e-42	6.13213685510949e-39	85.0573786578912
"C2CD4A"	-2.85708364698914	-0.523002069494776	-13.9856029889509	8.57800498115184e-41	1.46548066765495e-37	81.1883946427136
"CLCA2"	-3.24998792268966	0.802611521805428	-13.8569906166228	3.89234503336843e-40	6.13822811762202e-37	80.1052101805064
"MUCL1"	-3.67414424700056	2.90588616863004	-13.2655743700769	3.6081263139866e-37	5.2835855402171e-34	73.5668801965999
"GSDMB"	-1.40854101618877	2.23756806448555	-12.9349670121341	1.5021410259509e-35	2.05302621153463e-32	69.7664341025578
"ABCA12"	-2.58918199955	2.1492049671347	-12.8550078162774	3.6648071488507e-35	4.69576320991176e-32	68.9621989584828
"TCAP"	-2.01199645090063	-1.82096379130086	-12.8399999937903	4.3307446530736e-35	5.22262330192129e-32	68.1076360725491
"G6PD"	-0.828815842464182	6.01913265170286	-12.7027127805043	1.98187305604217e-34	2.15223517660636e-31	67.3273048423105
"TMEM45B"	-2.06803410951951	2.25600503691705	-12.7021301276785	1.99465725357402e-34	2.15223517660636e-31	67.2764155622702
"ETFA"	-0.729468932408392	5.90412021605603	-12.3704336015753	7.49182184766666e-33	7.67949198495071e-30	63.7361938673703
"MPHOSPH6"	-0.857761186390728	4.17258214273516	-12.1530358519668	7.76670147889906e-32	7.58214985804332e-29	61.4446430079206
"DBNDD2"	1.11342992990601	5.73868422935371	11.8154107620564	2.7620334404248e-30	2.57383852555222e-27	57.9180985688509
"RARG"	0.615408281465468	5.8574111705002	11.6255483021679	1.99117236830683e-29	1.77482716185471e-26	55.9585064052837
"MFSD2A"	-1.42038166938428	2.19740434394008	-11.5419460506428	4.71571083205263e-29	4.02819949032962e-26	55.0775433357259
"FA2H"	-1.456767251363	1.75805964274662	-11.3254158519108	4.30355448697122e-28	3.39335271297681e-25	52.8701336444153
"PPP4R4"	2.35684715046893	-0.902017392534789	11.3292711788439	4.13857017920268e-28	3.39335271297681e-25	52.8181868386392
"EAF2"	-0.953553182373184	1.75453389829699	-11.2921182507134	6.02934913992204e-28	4.57806247102006e-25	52.497722910072
"FHOD1"	-0.597448544927895	4.90787102754379	-11.0986390567684	4.21367527642967e-27	3.08516274436017e-24	50.6760646847647
"ABCC11"	-2.57191530539924	3.09280634659264	-11.0410509085572	7.47866996223206e-27	5.19881579966035e-24	50.1319505659911
