"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CENPN"	1.18991714387686	3.86908517618678	19.1373119193992	5.3485100657015e-70	1.09649804856946e-65	148.53366633997
"PHYHD1"	-2.20824296649863	3.28341338476843	-18.6135764412895	8.30670471400333e-67	7.87820258708069e-63	141.26749904901
"NOSTRIN"	-1.76608239360372	3.94685854365753	-18.5900505943113	1.15285145901381e-66	7.87820258708069e-63	140.950475396217
"ORC6L"	1.82617709507038	2.35048610623524	18.3297052782936	4.2764703139503e-65	2.19179794765738e-61	137.104623821281
"C15orf42"	1.70228132178057	2.66514538515028	18.2785667869205	8.67054436575641e-65	3.55509660084744e-61	136.460963169238
"LRRC48"	-1.70493743899	1.52361926341849	-18.2240279948129	1.84053456154275e-64	6.28879984103134e-61	135.738066724267
"C7orf63"	-1.47134431590201	2.08918296623685	-18.1840803739874	3.19206965547308e-64	9.34866000097909e-61	135.256854474169
"NEK10"	-2.96540964395842	1.30039417114947	-18.0806199561884	1.3248199347569e-63	3.39501668530639e-60	133.821909059196
"KPNA2"	1.16888543717375	7.02142147559226	17.7153120234074	1.95003220158366e-61	4.44195668496296e-58	128.932080511191
"CDC25A"	1.64883278084874	2.51718931395176	17.6922146624558	2.66893341106062e-61	5.47158038601538e-58	128.49637188484
"FAM72A"	1.76584757228221	0.266487789617315	17.5591921759016	1.61984049082098e-60	3.018940900211e-57	126.458951214142
"DSCC1"	1.30507732605154	3.11022047171064	17.506609614964	3.29743058703745e-60	5.63338537207124e-57	126.097394215903
"FAM54A"	1.66069040542632	1.41048884773028	17.4787782830678	4.80141829260666e-60	7.57183664744071e-57	125.493667919187
"APH1B"	-0.962526934317364	4.57453458021606	-17.2651476048771	8.49949177431516e-59	1.17995601598831e-55	122.927801765195
"MCM6"	0.806804796974796	6.00199343321498	17.2639815978632	8.63340336560392e-59	1.17995601598831e-55	122.886888098791
"TCF19"	1.02798388704218	4.81843206239015	17.2150285090447	1.66336280645182e-58	2.1312875559418e-55	122.274279364053
"KIF13B"	-1.25538170194503	6.10516707135506	-17.2094432125463	1.79247813372105e-58	2.16162318937737e-55	122.142393447322
"FAM72B"	1.6239836067967	2.30035528758449	17.2023734392916	1.97034228641774e-58	2.24411040076945e-55	121.938449838443
"KIF4B"	1.19834985449273	-1.63150274058743	17.1447685457212	4.2558331115613e-58	4.59204392737465e-55	121.15091032333
"GSG2"	1.3394914126409	1.23399225378097	17.0062118152107	2.69712193870696e-57	2.76468484327157e-54	119.234654613661
"C14orf45"	-1.02036362740951	3.73636033835878	-16.9529620953805	5.47188166822851e-57	5.34185933715965e-54	118.808707479364
"MCM10"	2.06418739361608	2.94679704095096	16.9213388642327	8.32417996436345e-57	7.75700061133705e-54	118.290580783608
"RAI2"	-1.61032170215815	4.03362776586871	-16.8268641804149	2.90771906775633e-56	2.5917890699162e-53	117.140244627414
"MND1"	1.87094403231885	1.12197778724622	16.8054159623956	3.86046029770229e-56	3.29763735679978e-53	116.587089867332
