"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"C6orf211"	-1.52627829114325	6.27242171637713	-17.1207685011882	5.86418425848466e-58	1.20221641483194e-53	121.021825999267
"ESR1"	-2.9874757175872	7.29749076102367	-15.3852869547862	3.40438562565137e-48	3.48966548557394e-44	98.6750233161159
"NKAIN1"	-2.60724902159092	3.41162251384027	-15.2614309985659	1.60305591811644e-47	1.09547497924351e-43	97.1747544413677
"WWP1"	-1.0647833727413	7.26183152393312	-15.0909112855165	1.33613268270735e-46	6.84801403204584e-43	95.0306036324517
"VGLL1"	3.07228447301701	-0.792908441456398	15.0293401651963	2.86270250113548e-46	1.17376527951557e-42	94.1002910933877
"RMND1"	-1.04733814355696	5.15086607746932	-14.8834879738483	1.72696180790534e-45	5.90074067064457e-42	92.5189873595234
"WNT6"	1.97560522253715	-1.38482289678779	14.7918725864573	5.30980698927761e-45	1.55509075838829e-41	91.1872001393975
"AGR3"	-3.36726912010607	4.27012144547188	-14.7135241669091	1.3826450451908e-44	3.54320075893208e-41	90.4731336154281
"SFRS13B"	1.59405567262785	-0.784909832437958	14.5413840471961	1.11921297181654e-43	2.54944279280121e-40	88.0838457781631
"FSIP1"	-2.33969476277671	2.24634626602477	-14.4871651655723	2.15544565981234e-43	4.41887914718129e-40	87.7163630270091
"FAM134B"	-1.33626228272639	4.81626625047785	-14.4565800312422	3.11738439585524e-43	5.32579145828569e-40	87.3706253923814
"SLC39A6"	-1.671087299757	9.25025646717995	-14.460567515913	2.97105092736813e-43	5.32579145828569e-40	87.3679772982737
"MAPK4"	2.39410212080536	-1.14524386095177	14.3511568976002	1.10782250631513e-42	1.74703609245895e-39	85.9458789652869
"PPP1R14C"	2.65670557397522	0.702940812940837	14.3226401288363	1.55946280750975e-42	2.28361050119696e-39	85.4334022186271
"PARD6B"	-1.49124599239225	4.71714535133734	-14.0754208982054	2.96641472213065e-41	3.80090426365003e-38	82.8543332936011
"FABP7"	3.08130316482557	-0.90613998860365	14.0845930087227	2.66093074013498e-41	3.63678274023381e-38	82.8483174324826
"RNF175"	1.12401464466309	-1.10552560370852	14.0641325385083	3.3907204857397e-41	4.08900945165586e-38	82.4674019523829
"CXCL1"	1.995962468647	-0.92190154274786	14.0081193746552	6.5755006963744e-41	7.4891299875762e-38	81.8775558667327
"RIMS4"	-2.3557988692112	2.88956332911482	-13.7844648604582	9.09398801447215e-40	9.81241306761545e-37	79.4910885580799
"GSTP1"	1.33649657096558	6.7631521815023	13.5647905170026	1.16725756637782e-38	1.19649736841559e-35	76.8983964593063
"CYP2B7P1"	-3.18049651995234	3.17797934264635	-13.5384842690176	1.58156031392209e-38	1.54397942836747e-35	76.6661145386311
"SLC22A5"	-0.808602948734461	4.66626889717089	-13.4936196159058	2.65256166106957e-38	2.47182575516305e-35	76.122651436493
"ROPN1"	2.4969083554929	-1.46153648161788	13.4810837106627	3.06425724188755e-38	2.73131903112768e-35	75.9127670127034
"C6orf97"	-1.58854033136752	3.71029846540396	-13.4609144645444	3.86416447382318e-38	3.30080149491037e-35	75.7768451591354
"KRT6C"	2.24025682422361	-1.44299829123907	13.4003766276085	7.74057815909901e-38	6.34758371358756e-35	74.9855594981131
"STAC"	1.81264101750285	0.24523471904779	13.3969470925214	8.0507804307317e-38	6.34804036963195e-35	74.7538256057977
"DPF3"	1.31610244945885	-1.16532406749342	13.3453136066184	1.45341500201193e-37	1.10357262800913e-34	74.2840254044377
"C1QL2"	1.77864393237502	-3.11853616126412	13.284351995027	2.91344493894327e-37	2.05960464459572e-34	73.7829659300151
"DNAJC14"	-0.383479563019023	6.08264902636378	-13.2891384239592	2.75885254272866e-37	2.01997271351716e-34	73.7573622631427
"BBOX1"	2.69563927243984	0.512629773543161	13.2635151630052	3.69332049634157e-37	2.52389211651661e-34	73.3307340512102
