"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"XBP1"	2.27876626357214	9.43412749885449	19.3997175938867	1.13428379005935e-60	2.32539519800067e-56	127.381146297468
"TBC1D9"	2.74409371794301	6.86248491521551	18.8855895535381	2.33182079816832e-58	2.39023290916244e-54	122.089046943293
"FOXA1"	4.4977236680131	5.23471935414022	18.4584528669814	1.92842904325082e-56	1.3178241271895e-52	117.713516132161
"ZNF552"	2.12648681731419	4.64625118151332	18.335833887365	6.83622089068429e-56	3.50373411199797e-52	116.457669423505
"CA12"	3.6417622819412	6.3197704212416	18.1982524075147	2.82478292525896e-55	1.15821749501468e-51	115.033869588824
"ESR1"	4.53698481489835	5.27280622846166	17.9769921671535	2.75862800732785e-54	8.54324655899343e-51	112.782005961647
"DEGS2"	3.65500185817357	3.38734554298721	17.9715657049661	2.91706384629794e-54	8.54324655899343e-51	112.673716439338
"LOC145837"	3.66709925972745	-0.749043090614143	17.8761697512896	7.78287451117158e-54	1.99445887941911e-50	111.445575793025
"SLC7A8"	2.24120225757922	5.71994600668557	17.5864307236856	1.52605178125745e-52	3.47617639639545e-49	108.774642655542
"C1orf64"	5.54239461705008	0.0544063880287642	17.2393044846407	5.34028576496642e-51	1.09481198467577e-47	105.161314384408
"AGR2"	5.40372615812096	4.89198282700733	17.1557629869531	1.25419040142369e-50	2.14267978496559e-47	104.410093768154
"FSIP1"	3.79415518166139	0.684030151624615	17.1596735463968	1.20507377901513e-50	2.14267978496559e-47	104.216409297528
"PRR15"	3.46747598420617	2.34857551476452	16.9496036467863	1.0279906796192e-49	1.62114130175948e-46	102.237131625679
"MLPH"	3.58157336485156	5.729088656393	16.8166132660514	3.98323182841505e-49	5.8328739795955e-46	100.960363234592
"CT62"	3.60809892221381	-1.34302307149099	16.7863596262107	5.41909058286047e-49	7.40645173594816e-46	100.451123616675
"SLC44A4"	4.62070887154585	3.60443822594732	16.7267979203515	9.93087875153977e-49	1.27245590803323e-45	100.048777030064
"ABCC8"	4.53268649233276	-0.621193516716536	16.6857394752508	1.50735650003164e-48	1.81778327100874e-45	99.5107774256007
"SPDEF"	3.79417897687057	4.93190589921843	16.6510484160474	2.14421077349032e-48	2.44213694818473e-45	99.3061053063649
"SLC39A6"	2.18560894201418	8.32520441815331	16.6313110496072	2.62008876794292e-48	2.82707578061041e-45	99.0345570281522
"THSD4"	2.85165816310916	5.08059435560593	16.5905475661895	3.9630376817247e-48	4.0623117756519e-45	98.686183200225
"GPR77"	2.56032985144912	0.488691598735991	16.5690453405656	4.92931431603122e-48	4.81218441871219e-45	98.2133164071302
"SCUBE2"	4.15554621072267	5.1155616537591	16.5157805975811	8.46069485533938e-48	7.88421387405967e-45	97.9419022620902
"ABAT"	2.62108519836261	4.23317130209094	16.4827779858134	1.18220673969532e-47	1.05375740741277e-44	97.6134584270394
"ANKRD30A"	5.76913526336182	0.370388453672693	16.474294657089	1.28833667248841e-47	1.10050792177854e-44	97.4707425915869
"YBX1"	-0.99822780054935	8.60951945498142	-16.3490014594712	4.58101343387243e-47	3.75661425631274e-44	96.1852814152188
"TTC8"	1.04981803901474	4.35963057335606	16.311031979961	6.72562279490434e-47	5.30315357378207e-44	95.8806885045593
"ANXA9"	2.78471481285567	2.9155013846142	16.2088604185237	1.88821872140957e-46	1.43371748176362e-43	94.8370958119595
"KIAA1370"	1.57249814149538	5.4441843208378	16.0255979934476	1.19818899474841e-45	8.77288306476327e-43	92.9836384937686
"ARSG"	2.03125058991479	2.80659437741525	15.9550796942819	2.43625274622751e-45	1.72226267415207e-42	92.3002290828099
"SYT9"	4.01401456697752	-0.456102861725175	15.923091361971	3.36058490670895e-45	2.29651170574801e-42	91.8718508112024
"SLC22A5"	1.30062180648344	4.09319311639504	15.9017628995059	4.16405998211077e-45	2.66773105291415e-42	91.7893931084433
"GATA3"	2.98551537705959	6.91335789830948	15.9084600361033	3.89301690184092e-45	2.57453998402067e-42	91.7833419363208
"AGR3"	6.22931077327992	1.85350802304515	15.7797407878609	1.41760061794076e-44	8.80673644497078e-42	90.5239266741118
"GPR160"	1.96986829237019	4.35968786793217	15.6893832263665	3.50627276478914e-44	2.1141793514983e-41	89.6692882022007
"ERGIC1"	0.980833600582414	7.85710838479317	15.6562392928392	4.88607053419614e-44	2.86198091490157e-41	89.2485448516276
"SIDT1"	2.71543279435776	3.50164542284374	15.6101247854991	7.75062259548738e-44	4.41376427305797e-41	88.8920749193989
"KCNJ11"	2.46314378434211	2.4645736795732	15.592636266758	9.23179899686057e-44	5.11516516850374e-41	88.6845670851653
"TFF1"	6.80620852289957	1.46757803636853	15.5809046155955	1.03805919781436e-43	5.60032937220848e-41	88.580170116278
"RABEP1"	1.21476484796424	6.71380607816649	15.5473881180232	1.45105846430331e-43	7.62773066068775e-41	88.1778270932106
"SERPINA11"	4.37292623205288	-0.245006332757218	15.531879151224	1.69420352645779e-43	8.68321662397776e-41	88.0245765285912
"AR"	3.9120148549167	2.22898798856837	15.4861468831208	2.6745664183543e-43	1.33734844250443e-40	87.6235513201577
"CCDC125"	1.18766650916136	4.1321285989248	15.4794832877396	2.85846093171272e-43	1.3648747695339e-40	87.5889832882676
"TMBIM6"	0.780218849062487	9.82101240172796	15.4793323831532	2.86276840592936e-43	1.3648747695339e-40	87.4812986930359
"SYTL5"	3.81748011496064	0.427427680450203	15.4649053160053	3.30596851796605e-43	1.54035592242777e-40	87.3311622650634
"ATP8B1"	1.35955909128068	5.78453546040299	15.4426124443209	4.12916280683235e-43	1.88115481561933e-40	87.1600643006077
"ACADSB"	1.89763407164078	5.46154419431155	15.3795950121896	7.73778406550576e-43	3.44852850275943e-40	86.5510352446367
"TMPRSS6"	3.23532639273618	-0.57710927545105	15.3625771390223	9.16685399667588e-43	3.99850369757132e-40	86.294457595537
"CAPN8"	4.2233521601084	0.818861087345667	15.3312933237757	1.25159902934898e-42	5.34563160430906e-40	86.0397792483361
"F7"	3.30927092651088	-0.262767575798326	15.3261384941404	1.31747641706462e-42	5.40191680524836e-40	85.9411380697891
"LRRC46"	2.00895014986905	0.592082908710379	15.3290504058229	1.27984890280383e-42	5.35473109313903e-40	85.9317336817348
"MAPT"	3.23070803231113	4.44649434557968	15.2712975271343	2.27308909536648e-42	9.13737245962905e-40	85.5334761514669
"TFF3"	5.59218317761699	3.20335719305926	15.2447576774958	2.959115006576e-42	1.14461918395877e-39	85.2667786376178
"C5orf36"	1.46225262161654	1.21390618395751	15.2514910080227	2.76761957214029e-42	1.09113401631631e-39	85.215002230544
"C9orf98"	1.74682440019171	0.967942168797074	15.2424812994979	3.02680161765866e-42	1.14911962895593e-39	85.1099278524531
"SCNN1A"	2.61952430606399	5.40874377636698	15.2017294393658	4.53678198117856e-42	1.69106486174803e-39	84.8037036490056
"RUNDC1"	0.966701019012218	5.14040990602572	15.1765944923625	5.82220054880955e-42	2.11062552536198e-39	84.5511970181916
"KDM4B"	1.26424169364909	6.25325497761034	15.1757999561784	5.86828227626131e-42	2.11062552536198e-39	84.5065200818748
"TTC36"	3.60339748628398	-1.41522701315413	15.1730203966885	6.03237497189926e-42	2.13223653963632e-39	84.4575651214038
"FAM174A"	1.02800221108319	3.70562402876463	15.1538971761632	7.2924632031646e-42	2.53394556149284e-39	84.384434126845
"C6orf97"	2.67582704282957	2.44290623653466	15.1519752469946	7.43280149397124e-42	2.53966439046507e-39	84.3433098930632
"NOSTRIN"	2.42265166738442	3.09983172835701	15.1399002176072	8.37830140695412e-42	2.81579601875355e-39	84.2461199969027
"INPP4B"	2.39292918820983	3.45190427364975	15.1379098582691	8.54528733377805e-42	2.82559573596425e-39	84.2298567820804
"C14orf45"	1.3311893778552	3.2411333473894	15.1328853660719	8.98175414890115e-42	2.92277685407337e-39	84.1796565562749
"DNAJC12"	2.87392346418642	2.83401848016602	15.1061217722395	1.17101949478208e-41	3.75110479101991e-39	83.9077885100357
"ZMYND10"	2.76909341397124	1.36728363043871	15.1005494918171	1.23749138943885e-41	3.90304784229014e-39	83.7750353061768
"SLC16A6"	2.72534314955067	1.71787313183675	15.0074421483383	3.11027767549242e-41	9.66118221595003e-39	82.8885463721628
"CACNA2D2"	2.5453528929206	2.02930370519449	14.993610936297	3.56610401591206e-41	1.09117460343602e-38	82.7709910982134
"REEP5"	0.922624244442153	7.70949260056079	14.9689399092893	4.55089089415745e-41	1.37202667972238e-38	82.4467374960383
"SLC7A13"	2.15874971892226	-3.68157967630696	14.9248544933908	7.03402051739484e-41	2.08991963227698e-38	82.129693954851
"NAT1"	3.53213073088839	3.74591303019811	14.8926247367556	9.66821670517604e-41	2.83154443818306e-38	81.8246727228494
"DACH1"	3.27607175190713	2.46266061095545	14.8891609372511	1.00043150603471e-40	2.88871074721374e-38	81.7733315796611
"SYTL2"	1.89511572655334	5.27244701037644	14.8790924396487	1.10489427207612e-40	3.14603298219897e-38	81.6266553328746
"NEK5"	2.44495956680617	-1.73350553851352	14.8234957034112	1.91131651768051e-40	5.36765752451619e-38	81.0173397146813
"FLJ45983"	3.51055008490011	0.768463323729439	14.8193347867184	1.99128962259785e-40	5.51667953417276e-38	81.0123705607662
"BCAS1"	3.64854805568945	1.8627252146554	14.7949267074074	2.53237944373094e-40	6.92217479679041e-38	80.8333276513414
"TMBIM4"	0.937029283514656	5.97383071040534	14.7834786825423	2.83448209208218e-40	7.54671654152944e-38	80.6564652393512
"FZD9"	-2.89690865601499	-0.0326433478774567	-14.7851870390389	2.78721559683369e-40	7.51851407245889e-38	80.641775509377
"WDR65"	2.34092879834428	-2.29051363694103	14.7510724354237	3.89904584331903e-40	1.02479921581902e-37	80.3326211544874
"MAGED2"	1.3193538283316	8.57590433447137	14.7450197700334	4.13821488430325e-40	1.07389295371014e-37	80.2453394311312
"C9orf116"	1.67190731217742	1.91502633405391	14.7157289428527	5.5193056699049e-40	1.41439106923401e-37	80.05131177622
"GP2"	4.86494727933729	-0.464218701520726	14.7136815122991	5.63149842138205e-40	1.42532529798461e-37	80.0388031536961
"FAM47E"	2.14736845607115	1.17247163421359	14.6853899698498	7.43613466727475e-40	1.8591243513878e-37	79.7110775906327
"TSPAN1"	3.28405409446087	3.69898013662736	14.6546940876187	1.00518331527107e-39	2.45324561266336e-37	79.5033416001974
"C4orf34"	1.38026300857561	5.34270802611096	14.6554164466762	9.98081251491607e-40	2.45324561266336e-37	79.430767450093
"CYP4Z2P"	4.43189340546702	0.20079569277869	14.6465518990893	1.08880856439067e-39	2.62607816218507e-37	79.3739656868507
"TCEAL1"	1.2843080122574	4.12415802921029	14.5638781433511	2.44902532649208e-39	5.8380776998156e-37	78.5991894334803
"ERBB4"	4.18618263805105	2.29237321259374	14.5268730992423	3.51848509445296e-39	8.10477111476182e-37	78.2479778220465
"MYB"	2.38485128031961	4.89104102187105	14.5287129364165	3.45569191295054e-39	8.05058408038626e-37	78.2302393824745
"TPSG1"	3.17376027763622	-2.63874512354969	14.5289145123131	3.4488804994682e-39	8.05058408038626e-37	78.2053665812885
"C16orf45"	1.84091262991245	3.54217246846942	14.5144259331253	3.97426604512935e-39	8.95345364738426e-37	78.1393920481857
"RHOB"	1.49728298239314	8.06098896058302	14.5183462273536	3.8246973177619e-39	8.71223552349297e-37	78.0362072655251
"LRTOMT"	0.990039158419676	3.48271071804808	14.4837044725099	5.36735525031119e-39	1.18318440845838e-36	77.8421202033099
"RALGPS2"	1.91487169115231	4.71795554108995	14.4868439040333	5.2050920154769e-39	1.15988686314448e-36	77.8263572514005
"SLC4A8"	2.47525921300258	2.78675806086258	14.4608210010962	6.71286916564269e-39	1.46404819962597e-36	77.6203851646977
"FOXC1"	-2.3300207896288	4.94342776976513	-14.4169390912928	1.03052045193015e-38	2.22386313526526e-36	77.1656715534169
"NEK10"	3.59203287639912	0.25050044633088	14.4101007552208	1.10166063228496e-38	2.35261923150771e-36	77.0541210876615
"AFF3"	3.3021723998009	4.31458536674969	14.3909108636578	1.32855243107603e-38	2.80790241128759e-36	76.9300132679699
"TUBA3E"	3.07363458471341	-2.13014413565965	14.3711169852992	1.61150163833613e-38	3.37116276403358e-36	76.6735704833614
