"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"BCL2"	1.40630452709068	5.57027297775865	9.56428744598023	2.10005622313959e-19	4.30532526305847e-15	33.3806090404586
"PHF15"	0.867958338513145	5.51230037675749	9.33780377215563	1.17684343182722e-18	9.0408459344159e-15	31.6876425318054
"STARD3"	-1.34529111096226	6.22852016410589	-9.3093198343684	1.45922206948221e-18	9.0408459344159e-15	31.4624713681709
"PPP4R4"	2.49983255215868	-1.52613232157623	9.28415753515895	1.76398145152254e-18	9.0408459344159e-15	31.0323944808576
"NXNL2"	1.99768694891568	-1.19268226095197	9.24793686251252	2.316538927834e-18	9.49827291190495e-15	30.7194156390659
"SIK3"	0.706314314240123	5.42118350969898	9.10477852355355	6.75963262399957e-18	2.30965380707692e-14	29.9742893463473
"C17orf37"	-1.47896664066468	6.13371463378181	-9.05884276049331	9.51139998929763e-18	2.78561730257987e-14	29.624186432969
"ERBB2"	-1.67998670261046	9.33588080145965	-8.99852733121242	1.48701350455086e-17	3.38725153964414e-14	29.1696766331757
"SLC7A3"	2.30791897912419	-2.22106466571376	9.01611199944799	1.3056141321613e-17	3.34579941542986e-14	29.1668698541487
"IGF1R"	1.32482667391385	7.01989273629308	8.91708621664049	2.71094393439251e-17	5.55770615989809e-14	28.5866973304164
"GSDMB"	-1.69558370402397	2.49677939568273	-8.89204667042052	3.25850434529084e-17	6.07296341661886e-14	28.401935740032
"PSMD3"	-1.23619504150366	7.68911259537479	-8.8503279182019	4.42418861020994e-17	7.5583575581595e-14	28.1000890142899
"NTRK2"	2.08417956383023	4.71382058183248	8.81589656484664	5.69064818381036e-17	7.62925128953863e-14	27.9155358112137
"ELP2"	0.842169298138698	6.52380439516182	8.8205264543857	5.50143328383476e-17	7.62925128953863e-14	27.8960109047453
"DBNDD2"	0.999979022110101	5.34779837488012	8.80969458411211	5.95424714075499e-17	7.62925128953863e-14	27.8460805107767
"TCAP"	-1.8892131027577	-1.16234737158184	-8.8202587539413	5.51220191722423e-17	7.62925128953863e-14	27.6654742186854
"SLC39A6"	1.32927427144677	8.93419953597147	8.74191339603727	9.75420365410489e-17	1.1723851561172e-13	27.3224412990964
"LOC100128977"	2.06446794871216	-2.68191837917128	8.73450247718294	1.02936114385199e-16	1.1723851561172e-13	27.24442808409
"OSR1"	2.29039057798403	1.24796013483748	8.6288982167621	2.20970777740673e-16	2.38427469182186e-13	26.4014108036027
"C1orf173"	2.28717104927743	-1.16428912497867	8.59366820565369	2.84743831905331e-16	2.91876664894559e-13	26.1439918925176
"ZNF516"	1.08795238370896	3.59970975656314	8.56460698555546	3.50816079522201e-16	3.28407382296635e-13	26.1434482293887
"SETBP1"	1.05431355219843	4.39718449358556	8.56397102028963	3.52419999537874e-16	3.28407382296635e-13	26.1351893431293
"ARMCX2"	0.914816400345588	5.15278747818995	8.53375362350284	4.3760500008295e-16	3.7380583777919e-13	25.8987636486376
"EDN3"	2.78816451243999	-1.565938029648	8.54406565634599	4.06461833858798e-16	3.62298871997357e-13	25.8441367534295
"LOC284276"	1.72206480715862	-1.9002873837363	8.52184824096858	4.76506188039958e-16	3.90754134440287e-13	25.6764592766997
