"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CHRNA5"	1.11520144848239	0.329669702409664	8.88677238950101	1.05848200453209e-17	2.16999395749125e-13	28.9120777481107
"CCNE1"	0.835020363566395	1.03026601156527	8.76320925501345	2.76144770217602e-17	2.83062196711553e-13	28.1270423970062
"CENPW"	0.655052747816499	2.18309701346338	8.6595866932966	6.12576813196117e-17	4.1861457491112e-13	27.6006141986384
"CDCA7"	1.15827098070801	1.29801966113093	8.48164974190237	2.36805761060731e-16	1.15092379763531e-12	26.1684469583588
"PDSS1"	0.429388952652893	1.85188647976605	8.45908069576991	2.80699428719406e-16	1.15092379763531e-12	26.0749387801458
"CENPN"	0.548283062025418	3.25983209878704	8.22852265679891	1.56451368139714e-15	5.34568249705381e-12	24.6318928448405
"C6orf97"	-0.986444128723967	4.54063919320854	-8.20489411088634	1.8620316113726e-15	5.45335858067852e-12	24.4943105691194
"GINS3"	0.416544644488606	2.81815436164712	8.13715939547183	3.06078785119754e-15	7.84365146717509e-12	23.9420472059168
"MYBL2"	1.16538785423897	3.64124983033022	8.08179090699091	4.58440773167128e-15	1.04427714341103e-11	23.6157187486047
"DSCC1"	0.570330263232906	2.42822327626835	7.84161703081009	2.58180566943187e-14	5.29295980290228e-11	21.8587006838053
"ESR1"	-1.23018021136792	8.53876795591408	-7.7263962510813	5.83383521783186e-14	1.08726778000701e-10	21.0888810471849
"MAPT"	-1.0568805679504	6.88298323035883	-7.63934129964124	1.07347888531051e-13	1.69287620213467e-10	20.5012305636213
"MND1"	0.958029808767729	0.198259295118398	7.67812660959853	8.18621849192016e-14	1.39854721085713e-10	20.4847389182167
"CCNA2"	0.802902273279824	3.3187907178326	7.60578192213757	1.35604900177633e-13	1.98574004181547e-10	20.334307645329
"C15orf42"	0.777628320642887	1.78973575956834	7.58586417131755	1.55719782411163e-13	2.1282741728075e-10	20.0749752645947
"CCNB2"	0.874944957131276	3.1555237382087	7.56464435321319	1.80387341660075e-13	2.17536523021953e-10	20.0546335920964
"CDKN3"	0.781325787754636	1.97334450912648	7.57256690644428	1.70757085785365e-13	2.17536523021953e-10	20.0098706936434
"FAM47E"	-0.676231197992851	2.78445356987624	-7.44935155014244	3.9882210629976e-13	4.40306601827204e-10	19.2469881313827
"GARS"	0.284207782271407	6.67868480099148	7.44600037957655	4.08069139784249e-13	4.40306601827204e-10	19.1967796633465
"SHCBP1"	0.766905719873968	2.31048806077919	7.4065469151185	5.34156397820615e-13	5.2691980954742e-10	18.9583538623756
"CDC25A"	0.761987864021918	1.67318561907431	7.40501850116636	5.39745183185982e-13	5.2691980954742e-10	18.881692435134
"FOXM1"	0.8885827094798	4.15934736702173	7.38475335713927	6.19520094051262e-13	5.5220788904978e-10	18.8610397777657
"MCM10"	0.944266989010281	1.88487348035968	7.39648916922062	5.72006981214667e-13	5.33032505540086e-10	18.8555801534662
"KIF2C"	0.905164153717832	3.24064721131736	7.36659864545546	7.00776422164958e-13	5.74664697232152e-10	18.7510459207878
"C12orf48"	0.551879478459665	2.13316123535586	7.37288704288862	6.71508420359083e-13	5.73608088574232e-10	18.7185842609502
"DONSON"	0.408804180183265	3.33059599238711	7.33836229336717	8.48444294561541e-13	6.68998326261775e-10	18.5669141594466
"EPR1"	0.979897813110318	2.82504046454497	7.32577109284185	9.23792737673423e-13	6.76381246965816e-10	18.4727044928288
"MCM6"	0.380356590264704	5.59203108056261	7.32807351890834	9.09539010681548e-13	6.76381246965816e-10	18.437098777683
"C1orf106"	1.30898114280688	2.1243537372599	7.30135442160672	1.08915378196243e-12	7.20281989806835e-10	18.2738189644689
"PSAT1"	1.12191456226819	1.50681143927915	7.30844210893544	1.03836252395783e-12	7.09582336788648e-10	18.2545592560284
"ORC6L"	0.773685244970088	1.38938890771695	7.31203516314565	1.01351207510174e-12	7.09582336788648e-10	18.2530044178815
"TCF19"	0.443475438439263	4.28076632020077	7.2828564351284	1.23351597527238e-12	7.90259719033097e-10	18.1920211693527
