"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"TRIM29"	3.24801233650052	3.34425064811782	13.7333526813159	1.30795258265116e-36	2.68143358969314e-32	72.3474358354959
"KLK7"	3.36734244091939	-0.550603827605145	12.6016014768777	8.69567778526126e-32	8.91350451378205e-28	61.1725734585649
"KLK5"	3.50369474187584	0.347435433712561	12.4592852433055	3.39931893669497e-31	2.32298125070612e-27	59.8595584284687
"KLK6"	3.19158780306712	-0.569217585904764	12.4109627177853	5.39077582038845e-31	2.76290737734459e-27	59.3754862417007
"STAC2"	4.0140680937627	1.26078115474564	12.3862195016911	6.82398254599209e-31	2.79796932350768e-27	59.2697366927424
"KRT16"	2.96127522840394	0.603111201561153	12.114885308597	8.90869165887483e-30	3.04395146164322e-26	56.6621533634506
"FOXC1"	1.47253545201552	2.75039212624139	12.0526448386486	1.5992568766257e-29	4.68376646110049e-26	56.2345135574108
"PTX3"	2.08931112228243	-0.247216301285143	11.913601702696	5.87545537221773e-29	1.50565888232295e-25	54.7125123779606
"BBOX1"	3.01040957405997	-0.21594340306565	11.8478657780846	1.08387941908587e-28	2.46895688563105e-25	54.1857268925308
"DSC3"	2.91837904388231	1.81117821543086	11.7708060429798	2.21670503198214e-28	4.54446698606658e-25	53.6118107934244
"ITPRIP"	0.824524599129288	4.76954920191516	11.7276384061561	3.30586493852035e-28	6.10232602874101e-25	53.2315108336516
"KRT6B"	3.47805372342602	1.68697116705678	11.705129145174	4.07057017318751e-28	6.10232602874101e-25	53.016154344616
"ANXA8"	2.75204699251604	0.981859532392704	11.7106298141946	3.86883344766548e-28	6.10232602874101e-25	53.001052278795
"BCL11A"	2.23776865510432	0.295373749426202	11.7025887479537	4.16723888602381e-28	6.10232602874101e-25	52.8494022468138
"PPP1R14C"	2.16472672542545	-0.320573400472893	11.6513147932402	6.68834727770249e-28	9.14118716934525e-25	52.3493481341551
"CFI"	1.16232121023289	3.61770403098636	11.4197514359281	5.58409303960733e-27	6.73408772970529e-24	50.4797365295496
"STAC"	1.70248849759376	-0.367326853906523	11.4333854794065	4.93149180021173e-27	6.31878208725879e-24	50.3762052797214
"ANXA8L2"	2.70774515007674	-0.344722144191883	11.2832472271403	1.92890861573962e-26	2.19691975173766e-23	49.1108527592335
"SFRP1"	2.88301891969436	4.69624279531699	11.2517367771352	2.56481697852741e-26	2.62906564383953e-23	48.9438337989879
"DSG3"	3.16021952256969	0.754947451931543	11.2519343821218	2.56024182719622e-26	2.62906564383953e-23	48.8982230079403
"GRAMD2"	2.13371599969556	1.66881535211338	11.229243450321	3.14244341414303e-26	3.06777297301649e-23	48.7337243960926
"D4S234E"	1.97848116508248	0.0222494583315578	11.2032907611083	3.97116337363936e-26	3.70058274195366e-23	48.3766613364807
"BOC"	1.32099553162046	4.08509769287094	11.1824052782352	4.79315809374969e-26	4.27237104695489e-23	48.3437925345987
