TF_ent	TF_sym	DE-TG	TG	DEG	Gene	P-value
Stat5b	STAT5B	378	739	9949	20501	0.0786383578714522
Fos	FOS	8	13	9949	20501	0.2546196996700536
Stat3	STAT3	471	974	9949	20501	0.5567099378300587
Stat5a	STAT5A	703	1460	9949	20501	0.6282931671651906
Atf2	ATF2	2	4	9949	20501	0.6651393318272498
Creb1	CREB1	899	1873	9949	20501	0.6938876909061801
Tbp	TBP	635	1331	9949	20501	0.7414584219959862
Rela	RELA	225	484	9949	20501	0.83034337177655
Stat1	STAT1	694	1473	9949	20501	0.8758992881502619
Atf1	ATF1	284	616	9949	20501	0.8969287671791206
Jun	JUN	524	1132	9949	20501	0.9432049993775763
Irf1	IRF1	764	1641	9949	20501	0.9547770560719818
Egr1	EGR1	590	1283	9949	20501	0.9720917675802475
Smad3	SMAD3	279	626	9949	20501	0.9801280367240207
Myc	MYC	1220	2634	9949	20501	0.9929569844511903
Elk1	ELK1	852	1886	9949	20501	0.9989843417247766
Junb	JUNB	518	1197	9949	20501	0.9999231083236033
